time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
0.3830010000,-1.3900000000,-0.5453758140,-0.5446856312,0.9852434645,0.9847566257
0.3840010000,-1.3850000000,-0.5418206713,-0.5411262781,0.9788382683,0.9783485091
0.3850010000,-1.3800000000,-0.5382665705,-0.5375679156,0.9724348746,0.9719421600
0.3860010000,-1.3750000000,-0.5347135250,-0.5340105560,0.9660333061,0.9655376001
0.3870010000,-1.3700000000,-0.5311615484,-0.5304542118,0.9596335856,0.9591348517
0.3880010000,-1.3650000000,-0.5276106542,-0.5268988957,0.9532357364,0.9527339376
0.3890010000,-1.3600000000,-0.5240608567,-0.5233446209,0.9468397825,0.9463348809
0.3900010000,-1.3550000000,-0.5205121700,-0.5197914006,0.9404457481,0.9399377051
0.3910010000,-1.3500000000,-0.5169646088,-0.5162392482,0.9340536578,0.9335424342
0.3920010000,-1.3450000000,-0.5134181879,-0.5126881776,0.9276635369,0.9271490927
0.3930010000,-1.3400000000,-0.5098729225,-0.5091382027,0.9212754110,0.9207577055
0.3940010000,-1.3350000000,-0.5063288279,-0.5055893380,0.9148893063,0.9143682980
0.3950010000,-1.3300000000,-0.5027859200,-0.5020415979,0.9085052495,0.9079808960
0.3960010000,-1.3250000000,-0.4992442148,-0.4984949973,0.9021232678,0.9015955261
0.3970010000,-1.3200000000,-0.4957037287,-0.4949495514,0.8957433888,0.8952122150
0.3980010000,-1.3150000000,-0.4921644784,-0.4914052756,0.8893656410,0.8888309902
0.3990010000,-1.3100000000,-0.4886264810,-0.4878621857,0.8829900531,0.8824518797
0.4000010000,-1.3050000000,-0.4850897539,-0.4843202977,0.8766166546,0.8760749120
0.4010010000,-1.3000000000,-0.4815543148,-0.4807796282,0.8702454755,0.8697001163
0.4020010000,-1.2950000000,-0.4780201820,-0.4772401937,0.8638765464,0.8633275221
0.4030010000,-1.2900000000,-0.4744873738,-0.4737020114,0.8575098986,0.8569571599
0.4040010000,-1.2850000000,-0.4709559092,-0.4701650986,0.8511455640,0.8505890604
0.4050010000,-1.2800000000,-0.4674258075,-0.4666294732,0.8447835752,0.8442232554
0.4060010000,-1.2750000000,-0.4638970885,-0.4630951534,0.8384239654,0.8378597769
0.4070010000,-1.2700000000,-0.4603697721,-0.4595621576,0.8320667685,0.8314986578
0.4080010000,-1.2650000000,-0.4568438791,-0.4560305047,0.8257120192,0.8251399317
0.4090010000,-1.2600000000,-0.4533194304,-0.4525002141,0.8193597530,0.8187836328
0.4100010000,-1.2550000000,-0.4497964475,-0.4489713055,0.8130100059,0.8124297962
0.4110010000,-1.2500000000,-0.4462749524,-0.4454437991,0.8066628149,0.8060784576
0.4120010000,-1.2450000000,-0.4427549674,-0.4419177155,0.8003182177,0.7997296534
0.4130010000,-1.2400000000,-0.4392365155,-0.4383930756,0.7939762530,0.7933834210
0.4140010000,-1.2350000000,-0.4357196202,-0.4348699010,0.7876369600,0.7870397985
0.4150010000,-1.2300000000,-0.4322043054,-0.4313482137,0.7813003792,0.7806988248
0.4160010000,-1.2250000000,-0.4286905957,-0.4278280361,0.7749665517,0.7743605398
0.4170010000,-1.2200000000,-0.4251785161,-0.4243093912,0.7686355196,0.7680249841
0.4180010000,-1.2150000000,-0.4216680923,-0.4207923025,0.7623073259,0.7616921993
0.4190010000,-1.2100000000,-0.4181593506,-0.4172767939,0.7559820148,0.7553622280
0.4200010000,-1.2050000000,-0.4146523178,-0.4137628901,0.7496596312,0.7490351138
0.4210010000,-1.2000000000,-0.4111470215,-0.4102506161,0.7433402213,0.7427109010
0.4220010000,-1.1950000000,-0.4076434898,-0.4067399977,0.7370238323,0.7363896352
0.4230010000,-1.1900000000,-0.4041417516,-0.4032310612,0.7307105124,0.7300713631
0.4240010000,-1.1850000000,-0.4006418364,-0.3997238335,0.7244003110,0.7237561323
0.4250010000,-1.1800000000,-0.3971437745,-0.3962183422,0.7180932788,0.7174439916
0.4260010000,-1.1750000000,-0.3936475969,-0.3927146154,0.7117894676,0.7111349909
0.4270010000,-1.1700000000,-0.3901533353,-0.3892126822,0.7054889304,0.7048291815
0.4280010000,-1.1650000000,-0.3866610222,-0.3857125720,0.6991917215,0.6985266157
0.4290010000,-1.1600000000,-0.3831706912,-0.3822143153,0.6928978968,0.6922273472
0.4300010000,-1.1550000000,-0.3796823763,-0.3787179430,0.6866075131,0.6859314310
